"trainer/global_step","finetune-200-epochs-from-new-weights - _step","finetune-200-epochs-from-new-weights - _step__MIN","finetune-200-epochs-from-new-weights - _step__MAX","finetune-200-epochs-from-new-weights - train_loss_mean","finetune-200-epochs-from-new-weights - train_loss_mean__MIN","finetune-200-epochs-from-new-weights - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1399-epochs - _step","finetune-200-epochs-from-synthetic-1399-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1399-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1199-epochs - _step","finetune-200-epochs-from-synthetic-1199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-999-epochs - _step","finetune-200-epochs-from-synthetic-999-epochs - _step__MIN","finetune-200-epochs-from-synthetic-999-epochs - _step__MAX","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-799-epochs - _step","finetune-200-epochs-from-synthetic-799-epochs - _step__MIN","finetune-200-epochs-from-synthetic-799-epochs - _step__MAX","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-199-epochs - _step","finetune-200-epochs-from-synthetic-199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-599-epochs - _step","finetune-200-epochs-from-synthetic-599-epochs - _step__MIN","finetune-200-epochs-from-synthetic-599-epochs - _step__MAX","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MAX"
"16","1","1","1","216.9562225341797","216.9562225341797","216.9562225341797","1","1","1","143.721923828125","143.721923828125","143.721923828125","1","1","1","151.3626708984375","151.3626708984375","151.3626708984375","1","1","1","157.92294311523438","157.92294311523438","157.92294311523438","1","1","1","172.02403259277344","172.02403259277344","172.02403259277344","173.5","1","346","161.97055053710938","161.94073486328125","162.0003662109375","173.5","1","346","182.73338317871094","182.23165893554688","183.235107421875"
"33","2","2","2","180.3510284423828","180.3510284423828","180.3510284423828","2","2","2","127.069091796875","127.069091796875","127.069091796875","2","2","2","131.66036987304688","131.66036987304688","131.66036987304688","2","2","2","136.64468383789062","136.64468383789062","136.64468383789062","2","2","2","144.08616638183594","144.08616638183594","144.08616638183594","174.5","2","347","154.91514587402344","154.45565795898438","155.3746337890625","174.5","2","347","152.6792449951172","152.2214813232422","153.1370086669922"
"50","5","5","5","175.94448852539062","175.94448852539062","175.94448852539062","5","5","5","119.3106689453125","119.3106689453125","119.3106689453125","5","5","5","121.38858032226562","121.38858032226562","121.38858032226562","5","5","5","127.89917755126953","127.89917755126953","127.89917755126953","5","5","5","136.14183044433594","136.14183044433594","136.14183044433594","177.5","5","350","152.67070770263672","152.53500366210938","152.80641174316406","177.5","5","350","147.62708282470703","146.83485412597656","148.4193115234375"
"67","6","6","6","173.58685302734375","173.58685302734375","173.58685302734375","6","6","6","115.32319641113281","115.32319641113281","115.32319641113281","6","6","6","116.51688385009766","116.51688385009766","116.51688385009766","6","6","6","126.17755889892578","126.17755889892578","126.17755889892578","6","6","6","133.9253692626953","133.9253692626953","133.9253692626953","178.5","6","351","151.22569274902344","151.04013061523438","151.4112548828125","178.5","6","351","143.77920532226562","142.89871215820312","144.65969848632812"
"84","7","7","7","171.63458251953125","171.63458251953125","171.63458251953125","7","7","7","110.95978546142578","110.95978546142578","110.95978546142578","7","7","7","114.95784759521484","114.95784759521484","114.95784759521484","7","7","7","123.82223510742188","123.82223510742188","123.82223510742188","7","7","7","131.2677764892578","131.2677764892578","131.2677764892578","179.5","7","352","150.484375","150.4383087158203","150.5304412841797","179.5","7","352","141.15684509277344","140.8712158203125","141.44247436523438"
"101","10","10","10","170.17848205566406","170.17848205566406","170.17848205566406","10","10","10","110.4095230102539","110.4095230102539","110.4095230102539","10","10","10","111.2531509399414","111.2531509399414","111.2531509399414","10","10","10","120.59214782714844","120.59214782714844","120.59214782714844","10","10","10","129.38832092285156","129.38832092285156","129.38832092285156","182.5","10","355","150.02084350585938","149.5175018310547","150.52418518066406","182.5","10","355","138.62096405029297","137.97689819335938","139.26502990722656"
"118","11","11","11","169.09585571289062","169.09585571289062","169.09585571289062","11","11","11","108.01419830322266","108.01419830322266","108.01419830322266","11","11","11","109.6780776977539","109.6780776977539","109.6780776977539","11","11","11","120.35087585449219","120.35087585449219","120.35087585449219","11","11","11","126.95380401611328","126.95380401611328","126.95380401611328","183.5","11","356","149.13951873779297","149.0318145751953","149.24722290039062","183.5","11","356","136.19528198242188","135.61978149414062","136.77078247070312"
"135","12","12","12","167.40187072753906","167.40187072753906","167.40187072753906","12","12","12","104.06473541259766","104.06473541259766","104.06473541259766","12","12","12","109.62679290771484","109.62679290771484","109.62679290771484","12","12","12","117.77088928222656","117.77088928222656","117.77088928222656","12","12","12","126.78563690185547","126.78563690185547","126.78563690185547","184.5","12","357","148.7511215209961","148.71298217773438","148.7892608642578","184.5","12","357","135.79946899414062","135.63015747070312","135.96878051757812"
"152","15","15","15","167.5572052001953","167.5572052001953","167.5572052001953","15","15","15","102.22075653076172","102.22075653076172","102.22075653076172","15","15","15","106.8824234008789","106.8824234008789","106.8824234008789","15","15","15","114.7159652709961","114.7159652709961","114.7159652709961","15","15","15","125.54010009765625","125.54010009765625","125.54010009765625","187.5","15","360","149.65304565429688","149.54483032226562","149.76126098632812","187.5","15","360","134.3989486694336","134.28915405273438","134.5087432861328"
"169","16","16","16","165.90655517578125","165.90655517578125","165.90655517578125","16","16","16","106.43278503417969","106.43278503417969","106.43278503417969","16","16","16","107.39563751220703","107.39563751220703","107.39563751220703","16","16","16","114.18472290039062","114.18472290039062","114.18472290039062","16","16","16","124.55755615234375","124.55755615234375","124.55755615234375","188.5","16","361","148.10629272460938","148.03395080566406","148.1786346435547","188.5","16","361","133.03995513916016","132.40817260742188","133.67173767089844"
